returns(rp=0.005000,variance(rp=0.005000,returns(rp=0.010000,variance(rp=0.010000,returns(rp=0.015000,variance(rp=0.015000,returns(rp=0.020000,variance(rp=0.020000,returns(rp=0.025000,variance(rp=0.025000,returns(rp=0.030000,variance(rp=0.030000,returns(rp=0.035000,variance(rp=0.035000,returns(rp=0.040000,variance(rp=0.040000,returns(rp=0.045000,variance(rp=0.045000,returns(rp=0.050000,variance(rp=0.050000,returns(rp=0.055000,variance(rp=0.055000,returns(rp=0.060000,variance(rp=0.060000,returns(rp=0.065000,variance(rp=0.065000,returns(rp=0.070000,variance(rp=0.070000,returns(rp=0.075000,variance(rp=0.075000,returns(rp=0.080000,variance(rp=0.080000,returns(rp=0.085000,variance(rp=0.085000,returns(rp=0.090000,variance(rp=0.090000,returns(rp=0.095000,variance(rp=0.095000,returns(rp=0.100000,variance(rp=0.100000
0.00794009,0.000113524,0.0154262,0.000100761,0.0229123,4.3396e-05,0.0303985,-5.85697e-05,0.0378846,-0.000205137,0.0453707,-0.000396305,0.0528569,-0.000632074,0.060343,-0.000912445,0.0678291,-0.00123742,0.0753152,-0.00160699,0.0828014,-0.00202116,0.0902875,-0.00247994,0.0977736,-0.00298332,0.10526,-0.0035313,0.112746,-0.00412387,0.120232,-0.00476106,0.127718,-0.00544284,0.135204,-0.00616922,0.14269,-0.0069402,0.150177,-0.00775579,
0.00539527,-5.66639e-05,0.00388745,-0.000177161,0.00237962,-0.000216937,0.0008718,-0.000175992,-0.000636025,-5.43245e-05,-0.00214385,0.000148064,-0.00365167,0.000431175,-0.0051595,0.000795007,-0.00666732,0.00123956,-0.00817515,0.00176484,-0.00968297,0.00237083,-0.0111908,0.00305755,-0.0126986,0.00382499,-0.0142064,0.00467315,-0.0157143,0.00560204,-0.0172221,0.00661164,-0.0187299,0.00770197,-0.0202377,0.00887301,-0.0217456,0.0101248,-0.0232534,0.0114573,
0.010083,-8.91728e-05,0.00750192,-0.000174337,0.00492085,-0.000195873,0.00233977,-0.000153779,-0.000241306,-4.80564e-05,-0.00282238,0.000121295,-0.00540346,0.000354276,-0.00798454,0.000650885,-0.0105656,0.00101112,-0.0131467,0.00143499,-0.0157278,0.00192249,-0.0183088,0.00247361,-0.0208899,0.00308837,-0.023471,0.00376675,-0.0260521,0.00450877,-0.0286332,0.00531441,-0.0312142,0.00618368,-0.0337953,0.00711658,-0.0363764,0.00811311,-0.0389575,0.00917326,
0.0038622,0.000257791,0.0048615,0.000454452,0.00586081,0.00104878,0.00686011,0.00204079,0.00785942,0.00343046,0.00885872,0.0052178,0.00985803,0.00740282,0.0108573,0.00998551,0.0118566,0.0129659,0.0128559,0.0163439,0.0138553,0.0201196,0.0148546,0.024293,0.0158539,0.028864,0.0168532,0.0338327,0.0178525,0.0391991,0.0188518,0.0449631,0.0198511,0.0511249,0.0208504,0.0576843,0.0218497,0.0646413,0.022849,0.0719961,
0.0174008,-6.50155e-06,0.0253378,-4.93539e-05,0.0332748,-0.000161025,0.0412118,-0.000341514,0.0491489,-0.000590823,0.0570859,-0.00090895,0.0650229,-0.00129589,0.0729599,-0.00175166,0.080897,-0.00227624,0.088834,-0.00286964,0.096771,-0.00353186,0.104708,-0.0042629,0.112645,-0.00506276,0.120582,-0.00593143,0.128519,-0.00686893,0.136456,-0.00787524,0.144393,-0.00895037,0.15233,-0.0100943,0.160267,-0.0113071,0.168204,-0.0125887,
-0.00400752,-3.90923e-05,0.00375127,-8.0205e-07,0.0115101,0.000213428,0.0192689,0.000603596,0.0270277,0.0011697,0.0347865,0.00191175,0.0425453,0.00282974,0.0503041,0.00392366,0.0580629,0.00519353,0.0658216,0.00663933,0.0735804,0.00826108,0.0813392,0.0100588,0.089098,0.0120324,0.0968568,0.0141819,0.104616,0.0165074,0.112374,0.0190089,0.120133,0.0216863,0.127892,0.0245396,0.135651,0.0275688,0.14341,0.030774,
-0.00366933,0.000584563,-0.00466856,0.000526063,-0.00566779,0.00058581,-0.00666701,0.000763804,-0.00766624,0.00106005,-0.00866547,0.00147453,-0.0096647,0.00200727,-0.0106639,0.00265825,-0.0116632,0.00342748,-0.0126624,0.00431495,-0.0136616,0.00532068,-0.0146608,0.00644465,-0.0156601,0.00768686,-0.0166593,0.00904733,-0.0176585,0.010526,-0.0186578,0.012123,-0.019657,0.0138382,-0.0206562,0.0156716,-0.0216554,0.0176233,-0.0226547,0.0196933,
0.00365622,0.000233835,0.00272765,0.000230944,0.00179908,0.000285636,0.000870513,0.000397909,-5.80552e-05,0.000567764,-0.000986623,0.0007952,-0.00191519,0.00108022,-0.00284376,0.00142282,-0.00377233,0.001823,-0.00470089,0.00228077,-0.00562946,0.00279611,-0.00655803,0.00336904,-0.0074866,0.00399955,-0.00841517,0.00468764,-0.00934373,0.00543331,-0.0102723,0.00623657,-0.0112009,0.0070974,-0.0121294,0.00801582,-0.013058,0.00899182,-0.0139866,0.0100254,
0.0108809,0.00109434,0.00526289,0.00245852,-0.000355144,0.00527598,-0.00597318,0.00954671,-0.0115912,0.0152707,-0.0172092,0.022448,-0.0228273,0.0310785,-0.0284453,0.0411624,-0.0340634,0.0526995,-0.0396814,0.0656899,-0.0452994,0.0801335,-0.0509175,0.0960304,-0.0565355,0.113381,-0.0621535,0.132184,-0.0677716,0.152441,-0.0733896,0.174151,-0.0790076,0.197314,-0.0846257,0.221931,-0.0902437,0.248001,-0.0958617,0.275524,
0.00596201,0.000462497,0.0041835,0.00113413,0.002405,0.00222266,0.000626488,0.00372808,-0.00115202,0.0056504,-0.00293053,0.0079896,-0.00470904,0.0107457,-0.00648755,0.0139187,-0.00826605,0.0175086,-0.0100446,0.0215154,-0.0118231,0.0259391,-0.0136016,0.0307796,-0.0153801,0.0360371,-0.0171586,0.0417115,-0.0189371,0.0478027,-0.0207156,0.0543109,-0.0224941,0.0612359,-0.0242726,0.0685778,-0.0260511,0.0763367,-0.0278296,0.0845124,
